NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
864,E2710000769201,鯰江公園,大阪府大阪市城東区今福西6-5,,,,1,,,,,,34.70404564,135.5517815,
865,E2710000770201,特別養護老人ホーム　城東さくら苑,大阪府大阪市城東区今福西6-6-20,1,,,,1,,,,,34.703288,135.552085,
866,E2710000771201,鯰江南公園,大阪府大阪市城東区今福西6-7,,,,1,,,,,,34.70282762,135.5517156,
867,E2710000772202,鯰江東小学校（運動場）,大阪府大阪市城東区今福東1-3-26,,,,1,,,,,1,34.70076549,135.5547746,
868,E2710000772201,鯰江東小学校,大阪府大阪市城東区今福東1-3-26,1,,,,1,,,,1,34.70068758,135.5552717,
869,E2710000773201,鯰江東公園,大阪府大阪市城東区今福東1-4,,,,1,,,,,,34.70070001,135.5562821,
870,E2710000774201,スギタ今福パーキング,大阪府大阪市城東区今福東1-9-37,1,,,,1,,,,,34.701134,135.557048,
871,E2710000775201,東今福公園,大阪府大阪市城東区今福東2-11,,,,1,,,,,,34.70292491,135.5584896,
872,E2710000776201,野江特別養護老人ホーム　城東園,大阪府大阪市城東区今福東2-2-25,1,,,,1,,,,1,34.70335264,135.555061,
873,E2710000777201,今福小学校,大阪府大阪市城東区今福南2-1-53,1,,,,1,,,,1,34.69647844,135.5513097,
874,E2710000777202,今福小学校（運動場）,大阪府大阪市城東区今福南2-1-53,,,,1,,,,,1,34.69630937,135.5516441,
875,E2710000778201,今福南中央公園,大阪府大阪市城東区今福南2-17,,,,1,,,,,,34.69808356,135.5527399,
876,E2710000779201,今福南古堤公園,大阪府大阪市城東区今福南2-4,,,,1,,,,,,34.69622321,135.5534257,
877,E2710000780202,市営今福南住宅３号館,大阪府大阪市城東区今福南4-10,1,,,,1,,,,,34.69864526,135.5556315,
878,E2710000780201,市営今福南住宅４号館,大阪府大阪市城東区今福南4-10,1,,,,1,,,,,34.69875993,135.5563396,
879,E2710000781201,市営今福南住宅２号館,大阪府大阪市城東区今福南4-11,1,,,,1,,,,,34.69861916,135.5549444,
880,E2710000781202,市営今福南住宅１号館,大阪府大阪市城東区今福南4-11,1,,,,1,,,,,34.69849126,135.5543114,
881,E2710000782201,南今福北公園,大阪府大阪市城東区今福南4-13,,,,1,,,,,,34.69928766,135.5562684,
882,E2710000783201,南今福公園,大阪府大阪市城東区今福南4-4,,,,1,,,,,,34.69818481,135.5570488,
883,E2710000784201,市営今福南第２住宅３号館,大阪府大阪市城東区今福南4-6-37,1,,,,1,,,,,34.69794948,135.5596489,
884,E2710000785201,市営今福南第３住宅７号館,大阪府大阪市城東区今福南4-9-7,1,,,,1,,,,,34.698779,135.557156,
885,E2710000786201,市営今福南第３住宅８号館,大阪府大阪市城東区今福南4-9-8,1,,,,1,,,,,34.698996,135.557594,
886,E2710000787201,鴫野東２公園,大阪府大阪市城東区鴫野2-27,,,,1,,,,,,34.69217962,135.5487515,
887,E2710000788201,鴫野の森公園,大阪府大阪市城東区鴫野西2-1,,,,1,,,,,,34.691234,135.5368274,
888,E2710000789201,城東スポーツセンター,大阪府大阪市城東区鴫野西2-1-21,1,,,,,,,,,34.691573,135.536419,
889,E2710002944201,大阪府トラック総合会館,大阪府大阪市城東区鴫野西2-11-2,1,,,,,,,,,34.692721,135.538282,
890,E2710000790202,城陽中学校（運動場）,大阪府大阪市城東区鴫野西3-3-64,,,,1,,,,,1,34.69466555,135.5418947,
891,E2710000790201,城陽中学校,大阪府大阪市城東区鴫野西3-3-64,1,,,,1,,,,1,34.69438033,135.5420592,
892,E2710000793201,鴫野公園,大阪府大阪市城東区鴫野西4-11,,,,1,,,,,,34.69191387,135.5412518,
893,E2710000794202,鴫野小学校（運動場）,大阪府大阪市城東区鴫野西4-11-48,,,,1,,,,,1,34.69088775,135.5416782,
894,E2710000794201,鴫野小学校,大阪府大阪市城東区鴫野西4-11-48,1,,,,1,,,,1,34.69144057,135.5414082,
895,E2710000795201,鴫野西公園,大阪府大阪市城東区鴫野西4-18,,,,1,,,,,,34.68970159,135.5413549,
896,E2710000796204,市営鴫野住宅２号館,大阪府大阪市城東区鴫野西5-3,1,,,,1,,,,,34.692309,135.543692,
897,E2710000796205,鴫野住宅１号館,大阪府大阪市城東区鴫野西5-3,1,,,,1,,,,,34.69173,135.543631,
898,E2710000796201,市営鴫野住宅５号館,大阪府大阪市城東区鴫野西5-3,1,,,,1,,,,,34.69084,135.542604,
899,E2710000796202,市営鴫野住宅４号館,大阪府大阪市城東区鴫野西5-3,1,,,,1,,,,,34.691536,135.542668,
900,E2710000796203,市営鴫野住宅３号館,大阪府大阪市城東区鴫野西5-3,1,,,,1,,,,,34.692179,135.542467,
901,E2710000791201,市営鴫野第２住宅１号館,大阪府大阪市城東区鴫野西３－６－Ａ,1,,,,1,,,,,34.693726,135.540715,
902,E2710000792201,市営鴫野第２住宅２号館,大阪府大阪市城東区鴫野西３－６－Ｂ,1,,,,1,,,,,34.693965,135.542985,
903,E2710000797201,鴫野北公園,大阪府大阪市城東区鴫野東1-5,,,,1,1,,,,,34.69554038,135.5447627,
904,E2710000798201,特別養護老人ホーム　しぎの黄金の里,大阪府大阪市城東区鴫野東2-26-12,1,,,,1,,,,1,34.69193352,135.5486389,
905,E2710000799202,城東小学校（運動場）,大阪府大阪市城東区鴫野東3-16-41,,,,1,,,,,1,34.69121465,135.5488124,
906,E2710000799201,城東小学校,大阪府大阪市城東区鴫野東3-16-41,1,,,,1,,,,1,34.69117642,135.5478451,
907,E2710000800201,鴫野東公園,大阪府大阪市城東区鴫野東3-23,,,,1,,,,,,34.68911278,135.5480733,
908,E2710000801201,新喜多公園,大阪府大阪市城東区新喜多1-9,,,,1,,,,,,34.69717207,135.539418,
909,E2710000802202,聖賢小学校（運動場）,大阪府大阪市城東区新喜多2-4-35,,,,1,,,,,1,34.6972204,135.5426794,
910,E2710000802201,聖賢小学校,大阪府大阪市城東区新喜多2-4-35,1,,,,1,,,,1,34.69743358,135.543021,
911,E2710000803201,布屋公園,大阪府大阪市城東区新喜多東1-5,,,,1,1,,,,,34.69416295,135.5486404,
