NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
608,E2710001767111,やたなか小中一貫校（矢田小学校・矢田南中学校）,大阪府大阪市東住吉区矢田3-4-27,1,,,34.6039903,135.5280006,
609,E2710001770111,大阪府立東住吉支援学校,大阪府大阪市東住吉区矢田5-1-22,1,,,34.60188449,135.5280925,
610,E2710001777121,特別養護老人ホーム　花嵐,大阪府大阪市東住吉区矢田6-8-7,,,要配慮者,34.60230957,135.532181,
611,E2710001780121,特別養護老人ホーム　ゆめあまみ,大阪府大阪市東住吉区矢田7-6-10,1,,要配慮者,34.59540374,135.530124,
612,E2710001782111,玉津中学校,大阪府大阪市東成区玉津1-12-43,1,,,34.67099865,135.538443,
613,E2710001783111,中道小学校,大阪府大阪市東成区玉津1-7-39,1,,,34.67250671,135.5381159,
614,E2710001784122,支援センター中,大阪府大阪市東成区玉津2-11-28,,,要配慮者,34.668262,135.535156,
615,E2710001788111,深江小学校,大阪府大阪市東成区深江南1-4-6,1,,,34.6722166,135.5559587,
616,E2710001791121,軽費老人ホーム　レインボー,大阪府大阪市東成区深江南3-14-6,,,要配慮者,34.67015085,135.5615924,
617,E2710001793122,特別養護老人ホーム　称揚苑,大阪府大阪市東成区深江北1-14-8,,,要配慮者,34.67507032,135.556408,
618,E2710001793121,慶生会リハｂｙデイ深江北,大阪府大阪市東成区深江北1-14-8,,,要配慮者,34.67506341,135.556604,
619,E2710001795111,東陽中学校,大阪府大阪市東成区深江北2-5-7,1,,,34.6776225,135.5592793,
620,E2710001797121,特別養護老人ホーム　サンローズオオサカ,大阪府大阪市東成区神路1-10-3,,,要配慮者,34.67863557,135.5550287,
621,E2710001798111,宝栄小学校,大阪府大阪市東成区神路1-15-48,1,,,34.67760465,135.5550923,
622,E2710001799111,相生中学校,大阪府大阪市東成区神路2-8-16,1,,,34.67461077,135.5539104,
623,E2710001800121,生活介護事務所　ハーモニー,大阪府大阪市東成区神路3-2-20,,,要配慮者,34.673175,135.554755,
624,E2710001801121,サラダぼーる,大阪府大阪市東成区神路3-7-10,,,要配慮者,34.665887,135.541313,
625,E2710001802121,生活介護事業所　ふりーすぺーすＳＵＮ,大阪府大阪市東成区大今里1-10-20,,,要配慮者,34.673787,135.547873,
626,E2710001803111,今里小学校,大阪府大阪市東成区大今里1-35-29,1,,,34.67192164,135.5448507,
627,E2710001807111,神路小学校,大阪府大阪市東成区大今里4-6-19,1,,,34.66966152,135.5505019,
628,E2710001809121,東成育成園,大阪府大阪市東成区大今里西1-1-15,,,要配慮者,34.67286782,135.5399232,
629,E2710002837121,大阪障害者就労支援センター,大阪府大阪市東成区大今里西1-29-14,,,要配慮者,34.669884,135.542145,
630,E2710001812121,東成工房,大阪府大阪市東成区大今里西3-17-17,,,要配慮者,34.67951,135.550185,
631,E2710001814111,大成小学校,大阪府大阪市東成区大今里西3-2-62,1,,,34.66746969,135.540393,
632,E2710001815121,有料老人ホーム　グラート大今里,大阪府大阪市東成区大今里南1-1-21,,,要配慮者,34.66809364,135.5432195,
633,E2710001817111,片江小学校,大阪府大阪市東成区大今里南2-13-2,1,,,34.66639475,135.5466061,
634,E2710001818121,東成区在宅サービスセンター,大阪府大阪市東成区大今里南3-11-2,,,要配慮者,34.66618719,135.5493991,
635,E2710000742121,グループホーム　ハヌルの家,大阪府大阪市東成区大今里南5-17-2,,,要配慮者,34.66553,135.55382,
636,E2710001821111,北中道幼稚園,大阪府大阪市東成区中道2-2-19,1,,,34.68069388,135.5380786,
637,E2710001823121,特別養護老人ホーム　ハミングベル中道,大阪府大阪市東成区中道2-7-1,,,要配慮者,34.68048138,135.5393267,
638,E2710001824111,北中道小学校,大阪府大阪市東成区中道2-9-20,1,,,34.67936951,135.5376186,
639,E2710001825121,指定障害福祉サービス事業所なにわの宮（就労継続支援Ｂ型ｃａｆé　ｓｈａｄｅ　ｔｒｅｅ）,大阪府大阪市東成区中道3-15-16,,,要配慮者,34.674635,135.535337,
640,E2710001828121,グループホーム　ハミングベル緑橋,大阪府大阪市東成区中本1-11-1,,,要配慮者,34.68135511,135.5437009,
641,E2710001831121,特別養護老人ホームアルカンシエル東成,大阪府大阪市東成区中本4-1-21,,,要配慮者,34.677673,135.539367,
642,E2710001832111,中本小学校,大阪府大阪市東成区中本4-2-32,1,,,34.67648526,135.5395187,
643,E2710001840111,東小橋小学校,大阪府大阪市東成区東小橋3-10-37,1,,,34.66689298,135.5331888,
644,E2710001841121,グループホーム　サボテンハウス,大阪府大阪市東成区東小橋3-6-28,,,要配慮者,34.67201,135.554866,
645,E2710001841122,グループホーム　さらんの家,大阪府大阪市東成区東小橋3-6-28,,,要配慮者,34.667728,135.533813,
646,E2710001842121,放課後等デイサービスうんどう広場　緑橋,大阪府大阪市東成区東中本1-16-11,,,要配慮者,34.680541,135.548463,
647,E2710001847111,東中本小学校,大阪府大阪市東成区東中本2-9-3,1,,,34.67912267,135.5452058,
648,E2710001848111,本庄中学校,大阪府大阪市東成区東中本3-14-2,1,,,34.67629032,135.5465084,
649,E2710001851111,井高野小学校,大阪府大阪市東淀川区井高野1-28-17,1,,,34.7623647,135.5447547,
650,E2710001861121,井高野デイサービスセンター,大阪府大阪市東淀川区井高野1-4-50,,,要配慮者,34.76268851,135.54374,
651,E2710001865111,井高野中学校,大阪府大阪市東淀川区井高野2-8-13,1,,,34.76469479,135.5483492,
652,E2710001866111,東井高野小学校,大阪府大阪市東淀川区井高野2-8-28,1,,,34.76520435,135.5491574,
653,E2710001873121,特別養護老人ホーム　井高野園,大阪府大阪市東淀川区井高野3-1-58,,,要配慮者,34.76661071,135.5439455,
654,E2710001889121,介護付有料老人ホーム　たのしい家下新庄,大阪府大阪市東淀川区下新庄4-27-31,,,要配慮者,34.74802921,135.5155412,
655,E2710001891111,下新庄小学校,大阪府大阪市東淀川区下新庄5-2-9,1,,,34.74626042,135.5213167,
656,E2710001894111,大阪府立柴島高等学校,大阪府大阪市東淀川区柴島1-7-106,1,,,34.729138,135.509902,
657,E2710001896111,柴島中学校,大阪府大阪市東淀川区柴島2-8-36,1,,,34.72765722,135.5123126,
658,E2710001901111,小松小学校,大阪府大阪市東淀川区小松3-18-15,1,,,34.75470325,135.5398675,
659,E2710001904111,関西大学北陽高等学校,大阪府大阪市東淀川区上新庄1-3-26,1,,,34.74594591,135.5294273,
660,E2710001906111,新庄小学校,大阪府大阪市東淀川区上新庄2-20-5,1,,,34.74883295,135.5323658,
661,E2710001909121,デイサービスセンター　たのしいデイずいこう,大阪府大阪市東淀川区瑞光2-8-15,,,要配慮者,34.75007581,135.5395398,
662,E2710001913111,瑞光中学校,大阪府大阪市東淀川区瑞光4-9-37,1,,,34.75226903,135.5454936,
663,E2710001917111,大隅東小学校,大阪府大阪市東淀川区瑞光5-8-19,1,,,34.75343949,135.5518021,
664,E2710001926111,菅原小学校,大阪府大阪市東淀川区菅原6-3-25,1,,,34.73918521,135.5232324,
665,E2710001928121,新東淀地域在宅サービスステーション　ビハーラこのみ園,大阪府大阪市東淀川区菅原7-15-14,,,要配慮者,34.74315699,135.5256864,
666,E2710001938111,もと西淡路小学校,大阪府大阪市東淀川区西淡路3-14-11,1,,,34.73972799,135.5097784,
667,E2710001939121,グループホーム　フォーユー淡路,大阪府大阪市東淀川区西淡路4-15-25,,,要配慮者,34.74294494,135.5069473,
668,E2710001941111,淡路中学校,大阪府大阪市東淀川区西淡路4-25-53,1,,,34.74330989,135.5097995,
669,E2710001942111,西淡路小学校,大阪府大阪市東淀川区西淡路5-5-32,1,,,34.7429725,135.5112808,
670,E2710001950111,大阪高等学校,大阪府大阪市東淀川区相川2-18-51,1,,,34.75850814,135.5351161,
671,E2710001951111,大阪成蹊学園,大阪府大阪市東淀川区相川3-10-62,,,,34.75938509,135.5371847,
672,E2710001953121,大桐地域サービスステーション　おおぎり,大阪府大阪市東淀川区大桐1-1-12,,,要配慮者,34.7438932,135.545001,
673,E2710001955121,特別養護老人ホーム　とよさと黄金の里,大阪府大阪市東淀川区大桐1-7-16,,,要配慮者,34.74515198,135.5439277,
674,E2710001959111,大阪経済大学体育館,大阪府大阪市東淀川区大桐3-16-10,,,,34.74987714,135.5446746,
675,E2710001963111,大桐小学校,大阪府大阪市東淀川区大桐4-1-15,1,,,34.74757203,135.5483471,
676,E2710001965111,大桐中学校,大阪府大阪市東淀川区大桐4-5-8,1,,,34.74894216,135.548732,
677,E2710001969121,介護付有料法人ホーム　たのしい家東淀川大隅,大阪府大阪市東淀川区大隅1-3-29,,,要配慮者,34.7484253,135.5399089,
678,E2710001971111,大隅西小学校,大阪府大阪市東淀川区大隅2-3-18,1,,,34.75108242,135.5464726,
679,E2710001973111,大道南小学校,大阪府大阪市東淀川区大道南1-23-6,1,,,34.74292943,135.5502949,
680,E2710001982121,デイサービスセンター　たのしいデイとよさと,大阪府大阪市東淀川区大道南3-2-14,,,要配慮者,34.74248065,135.5467579,
681,E2710002842121,淀川キリスト教病院老人保健施設,大阪府大阪市東淀川区淡路2-1-41,,,要配慮者,34.73539,135.51178,
682,E2710001988121,障害者支援施設　ハニカム,大阪府大阪市東淀川区淡路3-13-37,,,要配慮者,34.73832878,135.5133857,
683,E2710001988122,老人介護福祉施設　だんらん,大阪府大阪市東淀川区淡路3-13-37,,,要配慮者,34.73832848,135.5133445,
684,E2710001990121,淡路介護老人福祉施設　ビハーラ,大阪府大阪市東淀川区淡路5-11-17,,,要配慮者,34.74335411,135.5171849,
685,E2710001993121,障がい者支援施設　エフォール,大阪府大阪市東淀川区東淡路1-4-49,,,要配慮者,34.73341202,135.5197407,
686,E2710001993123,特別養護老人ホーム　ジュネス,大阪府大阪市東淀川区東淡路1-4-49,,,要配慮者,34.73345729,135.5197373,
687,E2710001993122,在宅支援サービス　ベラミ,大阪府大阪市東淀川区東淡路1-4-49,,,要配慮者,34.73349343,135.5197412,
688,E2710001998111,東淡路小学校,大阪府大阪市東淀川区東淡路3-3-32,1,,,34.73605905,135.5186243,
689,E2710002009121,さわやかディサービスセンター,大阪府大阪市東淀川区東中島2-14-1,,,要配慮者,34.72891597,135.504541,
690,E2710002840121,社会福祉法人秀生会　特別養護老人ホームザイオン新大阪,大阪府大阪市東淀川区東中島2-14-13,,,要配慮者,34.729027,135.505157,
691,E2710002021121,飛鳥ともしび苑　ディサービスセンター,大阪府大阪市東淀川区東中島3-14-24,,,要配慮者,34.73108879,135.5096269,
692,E2710002019111,大阪府立東淀川支援学校,大阪府大阪市東淀川区東中島3-5-22,1,,,34.73103871,135.5046197,
693,E2710002023111,小中一貫校むくのき学園（啓発小学校・中島中学校）,大阪府大阪市東淀川区東中島4-8-38,1,,,34.7325653,135.5072833,
694,E2710002841121,社会福祉法人ともしび福祉会　特別養護老人ホームともしび,大阪府大阪市東淀川区東中島5-19-3,,,要配慮者,34.732784,135.509644,
695,E2710002033121,介護老人福祉施設　さわやか苑,大阪府大阪市東淀川区豊新2-15-20,,,要配慮者,34.74248364,135.5274267,
696,E2710002037111,豊新小学校,大阪府大阪市東淀川区豊新4-17-26,1,,,34.74607535,135.5358091,
697,E2710002040111,新東淀中学校,大阪府大阪市東淀川区豊里1-10-32,1,,,34.73985416,135.5341142,
698,E2710002042111,大阪府立淀川清流高等学校,大阪府大阪市東淀川区豊里2-11-35,1,,,34.73988102,135.5370222,
699,E2710002046111,豊里南小学校,大阪府大阪市東淀川区豊里5-12-41,1,,,34.73942244,135.544161,
700,E2710002048111,豊里小学校,大阪府大阪市東淀川区豊里5-14-60,1,,,34.74175994,135.5440824,
701,E2710002052111,東淀中学校,大阪府大阪市東淀川区豊里6-25-19,1,,,34.74409614,135.5376187,
702,E2710002056111,大阪府立大阪北視覚支援学校,大阪府大阪市東淀川区豊里7-5-26,1,,,34.74307215,135.5425048,
703,E2710002073121,グランダ野田,大阪府大阪市福島区海老江1-5-14,,,要配慮者,34.69656914,135.4759696,
704,E2710002074111,海老江東小学校,大阪府大阪市福島区海老江1-6-19,1,,,34.69917298,135.4752533,
705,E2710002075121,福島育成園,大阪府大阪市福島区海老江1-8-8,,,要配慮者,34.69962543,135.4754927,
706,E2710002076121,ここち野田阪神,大阪府大阪市福島区海老江2-8-2,,,要配慮者,34.697436,135.4744459,
707,E2710002079121,特別養護老人ホーム　平成福島苑,大阪府大阪市福島区海老江3-20-8,,,要配慮者,34.700715,135.471677,
708,E2710002086121,福島区老人福祉センター,大阪府大阪市福島区海老江6-1-14,,,要配慮者,34.69802608,135.4715468,
709,E2710002084121,ケアホーム　こすもす,大阪府大阪市福島区海老江6-10-14,,,要配慮者,34.69969687,135.469827,
710,E2710002085121,ケアホーム　ひだまり,大阪府大阪市福島区海老江6-10-15,,,要配慮者,34.6996453,135.4697529,
711,E2710002093111,海老江西小学校,大阪府大阪市福島区海老江8-1-10,1,,,34.69748234,135.4698463,
712,E2710002102111,吉野小学校,大阪府大阪市福島区吉野3-10-5,1,,,34.69021877,135.4727408,
713,E2710002110121,社会福祉法人ゆうのゆう（デーセンターモモの家）,大阪府大阪市福島区吉野4-27-10,,,要配慮者,34.688534,135.469585,
714,E2710002112122,特別養護老人ホーム　福島ともしび苑,大阪府大阪市福島区吉野5-6-11,,,要配慮者,34.68678058,135.4670455,
715,E2710002112121,福島ともしび苑デイサービスセンター,大阪府大阪市福島区吉野5-6-11,,,要配慮者,34.68678709,135.4670019,
716,E2710002115111,野田中学校,大阪府大阪市福島区吉野5-9-4,1,,,34.68666018,135.4691179,
717,E2710002116111,下福島中学校,大阪府大阪市福島区玉川1-4-11,1,,,34.6882123,135.4823163,
718,E2710002118111,玉川小学校,大阪府大阪市福島区玉川2-13-16,1,,,34.69178487,135.4812567,
719,E2710002126111,鷺洲小学校,大阪府大阪市福島区鷺洲5-6-8,1,,,34.6988011,135.4791387,
720,E2710002128111,八阪中学校,大阪府大阪市福島区鷺洲6-1-13,1,,,34.7009395,135.4777571,
721,E2710002131121,生活介護　すずらんの園,大阪府大阪市福島区大開1-19-32,,,要配慮者,34.69460093,135.471716,
722,E2710002132111,大開小学校,大阪府大阪市福島区大開2-10-28,1,,,34.69217458,135.4709063,
723,E2710002141121,ワークはづき,大阪府大阪市福島区福島4-2-51,,,要配慮者,34.69301169,135.4826446,
724,E2710002142111,福島小学校,大阪府大阪市福島区福島4-5-6,1,,,34.69364447,135.4832904,
725,E2710002144121,阪神長楽苑,大阪府大阪市福島区福島4-6-24,,,要配慮者,34.69515878,135.4837301,
726,E2710002152111,上福島小学校,大阪府大阪市福島区福島7-4-33,1,,,34.69721998,135.4852806,
727,E2710002160111,野田小学校,大阪府大阪市福島区野田5-13-22,1,,,34.68600833,135.4734068,
728,E2710002163111,瓜破北小学校,大阪府大阪市平野区瓜破1-8-33,1,,,34.60490396,135.5512501,
729,E2710002169111,瓜破中学校,大阪府大阪市平野区瓜破2-5-31,1,,,34.60682591,135.5533276,
730,E2710002171111,瓜破小学校,大阪府大阪市平野区瓜破5-3-11,1,,,34.60245568,135.5525138,
731,E2710002175111,瓜破西小学校,大阪府大阪市平野区瓜破西2-1-43,1,,,34.60416829,135.5446675,
732,E2710002174111,瓜破西中学校,大阪府大阪市平野区瓜破西2-12-22,1,,,34.6024239,135.5454991,
733,E2710002190111,瓜破東小学校,大阪府大阪市平野区瓜破東2-5-78,1,,,34.60697958,135.56105,
734,E2710002202121,永寿特別養護老人ホーム,大阪府大阪市平野区瓜破南1-2-11,,,要配慮者,34.59592088,135.5454773,
735,E2710002203121,介護老人保健施設　永寿ケアセンター,大阪府大阪市平野区瓜破南1-2-30,,,要配慮者,34.59656623,135.5467645,
736,E2710002209111,加美小学校,大阪府大阪市平野区加美正覚寺3-13-35,1,,,34.63101711,135.5634004,
737,E2710002210111,加美中学校,大阪府大阪市平野区加美正覚寺3-13-46,1,,,34.63095451,135.5621752,
738,E2710002222111,加美東小学校,大阪府大阪市平野区加美東5-9-25,1,,,34.62719712,135.5716169,
739,E2710002225111,加美南中学校,大阪府大阪市平野区加美南1-10-15,1,,,34.62342449,135.5701594,
740,E2710002228111,加美南部小学校,大阪府大阪市平野区加美南1-9-17,1,,,34.62420952,135.5702953,
741,E2710002233121,加美北特別養護老人ホーム,大阪府大阪市平野区加美北7-1-2,,,要配慮者,34.63632729,135.5577236,
742,E2710002234111,加美北小学校,大阪府大阪市平野区加美北7-4-10,1,,,34.63648454,135.5602917,
743,E2710002242111,喜連北小学校,大阪府大阪市平野区喜連1-7-4,1,,,34.6141384,135.5500331,
744,E2710002244121,特別養護老人ホーム　喜連,大阪府大阪市平野区喜連2-2-40,,,要配慮者,34.61207358,135.5512021,
745,E2710002247111,大阪教育大学附属特別支援学校,大阪府大阪市平野区喜連4-8-71,1,,,34.61050901,135.5533664,
746,E2710002252111,喜連小学校,大阪府大阪市平野区喜連7-6-4,1,,,34.61116414,135.5558708,
747,E2710002260111,喜連西小学校,大阪府大阪市平野区喜連西3-17-61,1,,,34.61233649,135.5453638,
748,E2710002270111,喜連中学校,大阪府大阪市平野区喜連西6-2-11,1,,,34.61139521,135.5480874,
749,E2710002273111,喜連東小学校,大阪府大阪市平野区喜連東2-2-17,1,,,34.61347952,135.5619423,
750,E2710002294111,長吉出戸小学校,大阪府大阪市平野区長吉出戸3-1-43,1,,,34.61274116,135.5704074,
751,E2710002297121,長吉西地域在宅サービスステーション,大阪府大阪市平野区長吉出戸6-8-21,,,要配慮者,34.61048551,135.5714386,
752,E2710002306111,長吉東小学校,大阪府大阪市平野区長吉出戸8-8-41,1,,,34.60844426,135.5767078,
753,E2710002307111,川辺小学校,大阪府大阪市平野区長吉川辺1-4-9,1,,,34.59685117,135.5694272,
754,E2710002309111,川辺会館,大阪府大阪市平野区長吉川辺2-1-20,,,,34.59782973,135.5725645,
755,E2710002313121,永寿の里　若葉,大阪府大阪市平野区長吉川辺3-20-14,,,要配慮者,34.59388422,135.5785698,
756,E2710002313122,永寿の里　彩羽,大阪府大阪市平野区長吉川辺3-20-14,,,要配慮者,34.59388029,135.5785339,
757,E2710002313123,特別養護老人ホーム　長吉,大阪府大阪市平野区長吉川辺3-20-14,,,要配慮者,34.59391961,135.5785499,
758,E2710002315112,大阪府立平野支援学校,大阪府大阪市平野区長吉川辺3-4-115,1,,,34.59879552,135.5771741,
759,E2710002319111,長吉小学校,大阪府大阪市平野区長吉長原2-6-55,1,,,34.60587551,135.5693206,
760,E2710002324111,長吉高等学校,大阪府大阪市平野区長吉長原西3-11-33,1,,,34.59955583,135.5662641,
761,E2710002327111,長吉西中学校,大阪府大阪市平野区長吉長原西3-8-21,1,,,34.60067058,135.566282,
762,E2710002331111,長吉中学校,大阪府大阪市平野区長吉長原東1-6-15,1,,,34.60535703,135.5758032,
763,E2710002339111,長原小学校,大阪府大阪市平野区長吉長原東3-10-9,1,,,34.59958168,135.5773242,
764,E2710002839121,特別養護老人ホーム愛和,大阪府大阪市平野区長吉六反2-1-6,,,要配慮者,34.608554,135.578601,
765,E2710002347111,長吉南小学校,大阪府大阪市平野区長吉六反3-2-17,1,,,34.60464534,135.5787319,
766,E2710002354111,長吉六反中学校,大阪府大阪市平野区長吉六反4-9-61,1,,,34.60880357,135.585768,
767,E2710002355111,長吉六反小学校,大阪府大阪市平野区長吉六反5-3-41,1,,,34.60648542,135.5860861,
768,E2710002356111,平野中学校,大阪府大阪市平野区背戸口1-16-26,1,,,34.62363875,135.5422718,
769,E2710002357111,新平野西小学校,大阪府大阪市平野区背戸口1-5-22,1,,,34.62436027,135.5419785,
770,E2710002358111,平野西小学校,大阪府大阪市平野区背戸口4-1-31,1,,,34.62490436,135.5477341,
771,E2710002362111,平野北中学校,大阪府大阪市平野区平野宮町1-8-55,1,,,34.62804433,135.5533146,
772,E2710002363111,平野小学校,大阪府大阪市平野区平野宮町1-9-29,1,,,34.62712666,135.5545581,
773,E2710002366111,東住吉高等学校,大阪府大阪市平野区平野西2-3-77,1,,,34.61772829,135.5414528,
774,E2710002367111,摂陽中学校,大阪府大阪市平野区平野西3-4-7,1,,,34.62021175,135.5457531,
775,E2710002370121,特別養護老人ホーム　平野愛和,大阪府大阪市平野区平野東2-1-30,,,要配慮者,34.62340931,135.5565014,
776,E2710002372111,平野南小学校,大阪府大阪市平野区平野南2-3-8,1,,,34.61799393,135.5586299,
777,E2710002377111,大阪教育大学附属平野中学校・高等学校平野校舎,大阪府大阪市平野区流町2-1-24,1,,,34.61830015,135.5508156,
778,E2710002381112,大阪府立桜和高等学校,大阪府大阪市北区松ケ枝町1-38,1,,,34.698654,135.517975,
779,E2710002382111,天満中学校,大阪府大阪市北区神山町12-9,1,,,34.70319285,135.5069169,
780,E2710002383121,特別養護老人ホーム　北野よろこび苑,大阪府大阪市北区神山町15-12,,,要配慮者,34.70424465,135.5050227,
781,E2710002385111,菅北小学校,大阪府大阪市北区菅栄町9-5,1,,,34.70882061,135.5135787,
782,E2710002386111,大阪市立菅南幼稚園,大阪府大阪市北区菅原町11-2,1,,,34.693649,135.509933,
783,E2710002387111,西天満小学校,大阪府大阪市北区西天満3-12-21,1,,,34.69655283,135.5070625,
784,E2710002390111,大阪市扇町プール,大阪府大阪市北区扇町1-1,1,,,34.703682,135.510054,
785,E2710002391111,北区民センター,大阪府大阪市北区扇町2-1-27,,,,34.70533202,135.5104661,
786,E2710002393111,扇町小学校,大阪府大阪市北区扇町2-7-24,1,,,34.70467769,135.5064734,
787,E2710002394121,複合介護施設　平成曽根崎苑,大阪府大阪市北区曾根崎1-1-20,,,要配慮者,34.698565,135.503845,
788,E2710002866111,曽根崎コミュニティセンター,大阪府大阪市北区曽根崎2-15-1,1,,,34.700996,135.501663,
789,E2710002397111,大淀中学校,大阪府大阪市北区大淀中2-1-11,1,,,34.7037607,135.4865098,
790,E2710002398111,大淀小学校,大阪府大阪市北区大淀中4-10-33,1,,,34.70399194,135.482403,
791,E2710002402121,デイサービスセンター　淳風おおさか,大阪府大阪市北区大淀南2-5-20,1,,要配慮者,34.70080161,135.4853277,
792,E2710002402122,特別養護老人ホーム　淳風おおさか,大阪府大阪市北区大淀南2-5-20,1,,要配慮者,34.7007994,135.4853586,
793,E2710002410111,済美福祉センター、済美中崎町コミュニティホール,大阪府大阪市北区中崎西1-6-8,,,,34.7076062,135.5046075,
794,E2710002414121,大阪整肢学院,大阪府大阪市北区中津2-2-22,,,要配慮者,34.713462,135.496862,
795,E2710002416111,中津小学校,大阪府大阪市北区中津3-34-18,1,,,34.71354765,135.4940067,
796,E2710002422111,大阪ＹＭＣＡインターナショナルスクール,大阪府大阪市北区中津6-7-34,1,,,34.70854456,135.488732,
797,E2710002857111,大阪市立中之島小中一貫校,大阪府大阪市北区中之島6-1-53,1,,,34.688248,135.486771,
798,E2710002429111,豊仁小学校,大阪府大阪市北区長柄西2-6-20,1,,,34.71705597,135.5134029,
799,E2710002433111,豊崎東小学校,大阪府大阪市北区長柄中2-3-30,1,,,34.7132406,135.5159413,
800,E2710002437111,新豊崎中学校,大阪府大阪市北区長柄東2-2-30,1,,,34.71334545,135.5172558,
801,E2710002446111,滝川小学校,大阪府大阪市北区天満1-24-15,1,,,34.69610135,135.5185889,
802,E2710002449111,北稜中学校,大阪府大阪市北区天満橋1-1-58,1,,,34.69841897,135.5208641,
803,E2710002453111,堀川小学校,大阪府大阪市北区東天満2-10-7,1,,,34.69765105,135.5128948,
804,E2710002455111,堂島地域集会所、堂島・中之島老人憩いの家,大阪府大阪市北区堂島2-2-26,,,,34.69702515,135.4941826,
805,E2710002463111,豊崎小学校,大阪府大阪市北区豊崎4-5-9,1,,,34.71260038,135.5005563,
806,E2710002469111,豊崎本庄小学校,大阪府大阪市北区本庄西2-1-16,1,,,34.71276645,135.5059297,
807,E2710002470121,藤デイサービスセンター,大阪府大阪市北区本庄西2-6-15,,,要配慮者,34.71387138,135.5063471,
808,E2710002470122,特別養護老人ホーム　藤ミレニアム,大阪府大阪市北区本庄西2-6-15,,,要配慮者,34.71390393,135.5063451,
809,E2710002476111,豊崎中学校,大阪府大阪市北区本庄東3-4-8,1,,,34.71562841,135.5091039,
810,E2710002491121,特別養護老人ホーム　加寿苑,大阪府大阪市淀川区加島1-34-8,,,要配慮者,34.7252279,135.4588442,
811,E2710002492121,アンダンテ加島,大阪府大阪市淀川区加島1-36-46,,,要配慮者,34.72553188,135.458337,
812,E2710002500121,加島希望の家,大阪府大阪市淀川区加島1-49-21,,,要配慮者,34.72692114,135.4603278,
813,E2710002502111,東淀工業高等学校,大阪府大阪市淀川区加島1-52-81,1,,,34.72538768,135.4622634,
814,E2710002504111,美津島中学校,大阪府大阪市淀川区加島1-54-41,1,,,34.72785972,135.4633477,
815,E2710002507111,加島小学校,大阪府大阪市淀川区加島1-60-28,1,,,34.72870655,135.4579125,
816,E2710002508121,かしま障害者センター,大阪府大阪市淀川区加島1-60-36,,,要配慮者,34.72836904,135.458979,
817,E2710002522111,東淀川高等学校,大阪府大阪市淀川区宮原4-4-5,1,,,34.73582136,135.4974898,
818,E2710002523111,北中島小学校,大阪府大阪市淀川区宮原5-3-4,1,,,34.73947899,135.4962587,
819,E2710002528111,宮原小学校,大阪府大阪市淀川区三国本町1-16-44,1,,,34.73298213,135.4859963,
820,E2710002811121,社会福祉法人妙光会　特別養護老人ホーム　コモンズ三国,大阪府大阪市淀川区三国本町2-14-23,,,要配慮者,34.735496,135.486204,
821,E2710002535111,三国小学校,大阪府大阪市淀川区三国本町3-9-18,1,,,34.73846044,135.4882241,
822,E2710002536111,三津屋小学校,大阪府大阪市淀川区三津屋中1-4-14,1,,,34.72805667,135.472686,
823,E2710002544111,神津小学校,大阪府大阪市淀川区十三元今里2-3-12,1,,,34.72036282,135.4764469,
824,E2710002545121,特別養護老人ホーム　博愛の園,大阪府大阪市淀川区十三元今里3-1-88,,,要配慮者,34.7228706,135.4762409,
825,E2710002551111,十三小学校,大阪府大阪市淀川区十三東4-3-6,1,,,34.72358753,135.4854609,
826,E2710002552111,十三中学校,大阪府大阪市淀川区十三東5-1-27,1,,,34.72483531,135.484436,
827,E2710002553111,英真学園高等学校,大阪府大阪市淀川区十三東5-4-38,1,,,34.7235665,135.4835037,
828,E2710002562111,新高小学校,大阪府大阪市淀川区新高1-15-53,1,,,34.73282584,135.4801049,
829,E2710002563121,医療法人　けあき会　淀川老人保健施設　けあきのもり,大阪府大阪市淀川区新高1-7-20,,,要配慮者,34.732407,135.481014,
830,E2710002567121,社会福祉法人平成福祉会特別養護老人ホーム平成新高苑,大阪府大阪市淀川区新高4-15-25,,,要配慮者,34.735432,135.479275,
831,E2710002568121,社会福祉法人平成福祉会障害者福祉サービス事業所　にいたかの里,大阪府大阪市淀川区新高4-15-28,,,要配慮者,34.735174,135.479207,
832,E2710002574111,新北野中学校,大阪府大阪市淀川区新北野2-13-37,1,,,34.71560843,135.4756784,
833,E2710002575111,北野高等学校,大阪府大阪市淀川区新北野2-5-13,1,,,34.71618234,135.4786139,
834,E2710002863111,大阪市立淀川スポーツセンター,大阪府大阪市淀川区西宮原2-1-3,,,,34.734261,135.494064,
835,E2710002590111,宮原中学校,大阪府大阪市淀川区西宮原3-3-2,1,,,34.73776468,135.4926467,
836,E2710002591111,西三国小学校,大阪府大阪市淀川区西三国1-21-28,1,,,34.74466537,135.491839,
837,E2710002597111,三国中学校,大阪府大阪市淀川区西三国2-5-24,1,,,34.74079088,135.4879482,
838,E2710002618121,就労移行支援事業所ＣＯＮＮＥＣＴ　新大阪事業所,大阪府大阪市淀川区西中島5-6-9,,,要配慮者,34.729624,135.499907,
839,E2710002625111,西中島小学校,大阪府大阪市淀川区西中島7-14-25,1,,,34.73008478,135.4944067,
840,E2710002631111,塚本小学校,大阪府大阪市淀川区塚本3-5-6,1,,,34.71563701,135.4727672,
