NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
436,E2710001324111,中泉尾小学校,大阪府大阪市大正区泉尾3-23-34,1,,,34.65949465,135.4694315,
437,E2710001325121,大正区老人福祉センター,大阪府大阪市大正区泉尾3-9-16,,,要配慮者,34.657169,135.4722425,
438,E2710001327111,泉尾工業高等学校,大阪府大阪市大正区泉尾5-16-7,1,,,34.65475652,135.4686207,
439,E2710001328111,北恩加島小学校,大阪府大阪市大正区泉尾5-17-31,1,,,34.65448569,135.4683069,
440,E2710001334121,介護老人保健施設つるまち,大阪府大阪市大正区鶴町2-15-18,,,要配慮者,34.637618,135.454086,
441,E2710002850121,特別養護老人ホーム　幸楽園,大阪府大阪市大正区鶴町2-19-28,,,要配慮者,34.63953,135.454697,
442,E2710001337111,鶴町小学校,大阪府大阪市大正区鶴町2-6-24,1,,,34.63939478,135.4563769,
443,E2710001349111,南恩加島小学校,大阪府大阪市大正区南恩加島3-6-11,1,,,34.63616511,135.469879,
444,E2710001352111,大正西中学校,大阪府大阪市大正区南恩加島6-14-37,1,,,34.6362095,135.4650007,
445,E2710001354111,平尾小学校,大阪府大阪市大正区平尾2-21-28,1,,,34.64084889,135.4740387,
446,E2710001361111,大正北中学校,大阪府大阪市大正区北村3-1-1,1,,,34.65000799,135.4691346,
447,E2710001362121,泉尾特別養護老人ホーム　大正園,大阪府大阪市大正区北村3-4-3,,,要配慮者,34.64973187,135.4673332,
448,E2710001363122,軽費老人ホームケアハウス　つつじ荘,大阪府大阪市大正区北村3-5-10,,,要配慮者,34.6504981,135.4674894,
449,E2710001363121,泉尾特別養護老人ホーム　第二大正園,大阪府大阪市大正区北村3-5-10,,,要配慮者,34.65051625,135.4674409,
450,E2710001364121,障害者支援施設　ふくろうの社,大阪府大阪市大正区北村3-5-12,,,要配慮者,34.65012062,135.4669771,
451,E2710002867121,中津特別養護老人ホーム　喜久寿苑,大阪府大阪市大淀南2-2-51,,,要配慮者,34.701965,135.48688,
452,E2710001365111,中央小学校,大阪府大阪市中央区瓦屋町2-8-4,1,,,34.67107763,135.5127179,
453,E2710001367111,中央区民センター,大阪府大阪市中央区久太郎町1-2-27,,,,34.68117994,135.5098808,
454,E2710001369111,真宗大谷派難波別院（南御堂）,大阪府大阪市中央区久太郎町4-1-11,1,,,34.68013046,135.4998112,
455,E2710000813111,玉造幼稚園,大阪府大阪市中央区玉造1-9-10,1,,,34.67577,135.53066,
456,E2710002862111,学校法人城星学園,大阪府大阪市中央区玉造2-23-26,,,,34.677853,135.528259,
457,E2710001372111,玉造小学校,大阪府大阪市中央区玉造2-3-43,1,,,34.67867221,135.5297005,
458,E2710001374121,グループホームフレンド大阪中央,大阪府大阪市中央区高津3-14-26,,,要配慮者,34.664446,135.510612,
459,E2710001375111,高津小学校,大阪府大阪市中央区高津3-4-21,1,,,34.66570867,135.5106292,
460,E2710001376111,開平小学校,大阪府大阪市中央区今橋1-5-7,1,,,34.69052399,135.5084077,
461,E2710001378111,中大江小学校、中大江幼稚園,大阪府大阪市中央区糸屋町2-3-14,1,,,34.68551589,135.5125075,
462,E2710001379111,東中学校,大阪府大阪市中央区手前4-1-5,,,,34.6829091,135.5182221,
463,E2710001381111,中央聴覚支援学校,大阪府大阪市中央区上町1-19-31,1,,,34.67765685,135.5229759,
464,E2710001385121,中央区在宅サービスセンター,大阪府大阪市中央区上本町西2-5-25,,,要配慮者,34.67372749,135.5188044,
465,E2710001386111,上町中学校,大阪府大阪市中央区上本町西3-2-30,1,,,34.67239853,135.5186014,
466,E2710001393122,大阪城南ケアセンターそよ風,大阪府大阪市中央区森ノ宮中央2-5-3,,,要配慮者,34.680244,135.5292,
467,E2710001397111,大手前高等学校,大阪府大阪市中央区大手前2-1-11,1,,,34.68724614,135.5198211,
468,E2710001399111,もと南高等学校,大阪府大阪市中央区谷町6-17-32,,,,34.67445011,135.5128058,
469,E2710000808111,桃園幼稚園,大阪府大阪市中央区谷町6-5-34,1,,,34.67478,135.51615,
470,E2710001401111,中央高等学校,大阪府大阪市中央区釣鐘町1-1-5,1,,,34.68819588,135.5163885,
471,E2710001402111,南中学校,大阪府大阪市中央区島之内1-10-23,1,,,34.6739357,135.5089321,
472,E2710001403112,大阪市立中央スポーツセンター,大阪府大阪市中央区島之内2-12-31,,,,34.671837,135.50795,
473,E2710001403111,中央会館,大阪府大阪市中央区島之内2-12-31,,,,34.67161234,135.5079619,
474,E2710001405111,南小学校,大阪府大阪市中央区東心斎橋1-14-29,1,,,34.67338452,135.5041479,
475,E2710001266111,銅座幼稚園,大阪府大阪市中央区内久宝寺町1-1-4,1,,,34.677748,135.518575,
476,E2710001407111,南幼稚園,大阪府大阪市中央区南船場3-2-19,1,,,34.67699077,135.5025279,
477,E2710001410111,河原会館,大阪府大阪市中央区難波千日前5-25,,,,34.66404665,135.5046318,
478,E2710001413111,南大江小学校,大阪府大阪市中央区農人橋1-3-3,1,,,34.68030945,135.514888,
479,E2710001416111,相愛中学校・高等学校,大阪府大阪市中央区本町4-1-23,1,,,34.68408683,135.4997824,
480,E2710001417111,本願寺津村別院（北御堂）,大阪府大阪市中央区本町4-1-3,1,,,34.68485382,135.4995377,
481,E2710001418111,愛日会館,大阪府大阪市中央区本町4-7-11,1,,,34.68453154,135.4982089,
482,E2710001421111,茨田高等学校,大阪府大阪市鶴見区安田1-5-49,1,,,34.70364718,135.5868861,
483,E2710001422121,特別養護老人ホーム　ファミリー,大阪府大阪市鶴見区安田2-1-27,,,要配慮者,34.70266749,135.5913368,
484,E2710001423111,茨田小学校,大阪府大阪市鶴見区安田2-1-8,1,,,34.70279509,135.5905952,
