testId,locationId,locationLabel,destinationName,route,intervalMeters,routeDistanceMeters,routeDurationSeconds,sampleCount,routeTotalDistanceMeters,evaluatedDistanceMeters,unavailableDistanceMeters,evaluationCoverageRatio,floodCrossingDistanceMeters,floodCrossingRatioAmongEvaluatedDistance,unavailableSampleCount,maxDepthRank,processingTimeMs
L3-C-50m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,C,50,1451.5,1045.1,31,1304.2168548130192,0,1304.2168548130192,0,0,,31,0,202.5
L3-C-100m,L3,内陸・上町台地寄り（天王寺区周辺）,東横ＩＮＮ大阪通天閣前,C,100,1451.5,1045.1,16,1238.3901954047717,0,1238.3901954047717,0,0,,16,0,93.59999942779541
L4-A-20m,L4,東部低地（城東区周辺）,市営鶴見住宅１号館,A,20,283,203.8,16,280.7936619274665,280.7936619274665,0,1,280.7936619274665,1,0,2,39.19999980926514
L4-A-30m,L4,東部低地（城東区周辺）,市営鶴見住宅１号館,A,30,283,203.8,11,268.8348946806986,268.8348946806986,0,1,268.8348946806986,1,0,2,22
L4-A-50m,L4,東部低地（城東区周辺）,市営鶴見住宅１号館,A,50,283,203.8,7,280.69239544602016,280.69239544602016,0,1,280.69239544602016,1,0,2,13
L4-A-100m,L4,東部低地（城東区周辺）,市営鶴見住宅１号館,A,100,283,203.8,4,280.6445780862806,280.6445780862806,0,1,280.6445780862806,1,0,2,7.100000381469727
L5-A-20m,L5,南部（阿倍野区周辺）,市営長居１丁目住宅１号館,A,20,214.8,154.6,12,209.60351746897084,209.60351746897084,0,1,0,0,0,0,39
L5-A-30m,L5,南部（阿倍野区周辺）,市営長居１丁目住宅１号館,A,30,214.8,154.6,9,195.39230038348884,195.39230038348884,0,1,0,0,0,0,19.800000190734863
L5-A-50m,L5,南部（阿倍野区周辺）,市営長居１丁目住宅１号館,A,50,214.8,154.6,6,200.7103570562241,200.7103570562241,0,1,0,0,0,0,8.699999809265137
L5-A-100m,L5,南部（阿倍野区周辺）,市営長居１丁目住宅１号館,A,100,214.8,154.6,4,182.96892525139276,182.96892525139276,0,1,0,0,0,0,9.90000057220459
